#NSGA2
popsize 100
maxGen 100
numVar 13
numObj 2
numCons 7
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 100
currentGen	1
evaluateCount	100
totalTime	0.346105
firstFrontCount	11
frontCount	15
avgEvalTime	0.00249435
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Obj1	Obj2	Cons1	Cons2	Cons3	Cons4	Cons5	Cons6	Cons7	
0	0	0	0	0	0	0	0.833333	0.833333	0.833333	0.833333	0.833333	0.833333	14.9562	0	0	0	0	0	0	0	0	
-0.110887	-0.173363	-0.060186	0.818769	0.87683	0.618718	0.546581	0.866318	0.291492	0.815023	0.411549	0.653033	0.563883	19.9931	1.5236	0	0	0	0	0	0	0	
0.0785983	0.587632	0.921941	-0.0235474	0.526482	0.0164318	-0.189541	0.257033	0.599865	0.649957	0.595273	0.929235	0.689676	7.54441	0.723947	0	0	0	0	0	0	0	
0.567869	0.427883	-0.00946624	0.880562	0.211104	0.327013	0.339379	0.813315	0.314164	0.509678	0.29612	0.771808	0.289439	10.3984	0.762854	0	0	0	0	0	0	0	
0.0362336	0.69368	0.877497	0.34541	-0.0186716	0.79451	0.531237	0.26617	0.615897	0.698613	0.758631	0.840514	0.874204	8.46571	1.71628	0	0	0	0	0	0	0	
0.879307	0.899901	0.993273	-0.240789	0.964769	0.165207	0.567855	0.725731	0.90411	0.900789	0.468965	0.829037	0.418134	5.53543	2.22721	0	0	0	0	0	0	0	
0.867465	0.138407	0.21347	-0.174981	-0.207351	0.0936832	0.182682	0.951679	0.848988	0.326715	0.729495	0.538052	0.346507	11.803	0.378014	0	0	0	0	0	0	0	
0.86037	0.917065	-0.0956289	0.321689	0.107185	0.780364	0.0458412	0.291155	0.409597	0.417403	0.869796	0.840018	0.412061	13.5116	1.05433	0	0	0	0	0	0	0	
0.297418	0.330233	-0.158042	0.888195	0.248619	0.15152	0.427797	0.761461	0.349647	0.333901	0.896314	0.459724	0.268546	11.8664	0.696948	0	0	0	0	0	0	0	
-0.0464611	0.197695	0.335709	-0.126299	0.734261	0.043411	-0.132154	0.793492	0.296226	0.718634	0.420924	0.570049	0.554412	13.2664	0.234398	0	0	0	0	0	0	0	
-0.257764	-0.223768	0.695301	0.372934	0.338043	0.544001	0.213182	0.551831	0.811184	0.720879	0.415431	0.936921	0.730158	17.1163	0.82261	0	0	0	0	0	0	0	
-0.269731	0.472919	0.69259	0.773616	0.465108	0.14218	-0.138599	0.811184	0.432718	0.410738	0.384042	0.972877	0.856321	9.27356	0.676911	0	0	0	0	0	0	0	
0.274397	0.999184	0.662011	0.443283	0.812968	0.928206	0.564177	0.724086	0.745422	0.606772	0.940114	0.493809	0.753874	3.45922	2.63679	0	0	0	0	0	0	0	
0.944399	0.906403	0.556227	0.904246	0.911111	-0.131869	0.0322688	0.816253	0.916465	0.66243	0.503668	0.514113	0.387245	4.61338	2.10566	0	0	0	0	0	0	0	
-0.181901	0.914039	0.194419	-0.201962	0.538194	0.667641	0.925494	0.301186	0.953939	0.50463	0.840323	0.842252	0.741258	15.0574	1.77777	0	0	0	0	0	0	0	
0.728286	0.59446	0.319623	0.732261	0.641614	-0.284907	0.501791	0.52329	0.908344	0.300263	0.996872	0.440384	0.920417	5.55275	1.14501	0	0	0	0	0	0	0	
0.29475	-0.0259993	0.0159793	0.312567	0.40785	0.254765	0.712069	0.896577	0.737503	0.402056	0.694152	0.668284	0.941894	17.4351	0.6052	0	0	0	0	0	0	0	
0.621587	0.0160332	0.664662	0.423276	0.949176	0.673754	0.811735	0.327291	0.785656	0.294059	0.928636	0.699119	0.56194	12.4646	2.26102	0	0	0	0	0	0	0	
0.458001	0.176653	0.113148	0.298204	-0.177761	0.733713	0.982298	0.499309	0.344982	0.740388	0.742712	0.573108	0.295027	18.7153	1.75145	0	0	0	0	0	0	0	
0.991413	0.661908	-0.0519768	-0.0890857	0.223391	0.28744	0.431513	0.531229	0.51534	0.659264	0.555464	0.458204	0.985207	13.345	0.776713	0	0	0	0	0	0	0	
0.337151	0.342251	0.564791	0.721	0.935997	0.872983	0.153006	0.630156	0.570823	0.354327	0.677571	0.317694	0.916396	8.75063	1.81777	0	0	0	0	0	0	0	
0.21984	-0.0613747	-0.182567	0.664094	0.0800693	0.0113605	0.279451	0.749459	0.787772	0.515585	0.602234	0.808021	0.686977	15.8448	0.227215	0	0	0	0	0	0	0	
0.124306	0.917447	0.0780702	0.580223	0.166999	0.0427873	0.574108	0.592812	0.856548	0.25346	0.585244	0.328865	0.602888	8.85768	0.864058	0	0	0	0	0	0	0	
0.664751	0.445309	0.554616	-0.127937	0.532933	0.13683	-0.0567072	0.582404	0.526	0.890464	0.703639	0.741443	0.331461	9.56324	0.543515	0	0	0	0	0	0	0	
