#NSGA2
popsize 100
maxGen 100
numVar 13
numObj 2
numCons 7
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 100
currentGen	1
evaluateCount	100
totalTime	0.565154
firstFrontCount	14
frontCount	15
avgEvalTime	0.00385715
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Obj1	Obj2	Cons1	Cons2	Cons3	Cons4	Cons5	Cons6	Cons7	
0	0	0	0	0	0	0	0.833333	0.833333	0.833333	0.833333	0.833333	0.833333	14.9562	0	0	0	0	0	0	0	0	
0.759141	0.87753	-0.134917	0.887389	0.522067	-0.173197	0.0620477	0.660161	0.96813	0.973666	0.36821	0.977945	0.967875	7.67926	1.14587	0	0	0	0	0	0	0	
0.330988	0.740365	-0.115548	0.24829	0.890456	0.72987	0.94734	0.741806	0.276784	0.886847	0.950495	0.759051	0.818305	16.5144	2.10095	0	0	0	0	0	0	0	
0.666072	0.209895	0.552121	-0.0774573	0.61786	-0.258617	0.0599999	0.284629	0.322849	0.867593	0.771121	0.487825	0.962667	10.3579	0.362932	0	0	0	0	0	0	0	
-0.25522	0.270368	0.196026	0.695172	0.73376	-0.0570656	0.336694	0.58419	0.734735	0.782024	0.816015	0.457019	0.759777	14.257	0.770867	0	0	0	0	0	0	0	
0.551627	-0.0886047	-0.145303	0.347873	0.947667	0.142501	0.460848	0.417859	0.81345	0.441321	0.629468	0.774308	0.918177	16.9577	0.807685	0	0	0	0	0	0	0	
0.947079	0.41138	-0.119788	-0.105918	0.0347607	0.792932	0.0305668	0.860714	0.432644	0.946948	0.512488	0.397446	0.438313	14.0188	0.940918	0	0	0	0	0	0	0	
0.500858	0.315276	0.157157	0.780077	0.460843	0.414641	0.892352	0.464379	0.8179	0.815297	0.535334	0.675866	0.306891	14.1589	1.42608	0	0	0	0	0	0	0	
-0.229865	0.390037	0.712917	0.914214	-0.131122	0.439471	0.310208	0.258927	0.502842	0.371637	0.845713	0.483411	0.6464	8.36991	1.00582	0	0	0	0	0	0	0	
-0.0846567	0.482577	0.0418627	0.550303	0.595979	0.672597	0.285704	0.312866	0.421733	0.935003	0.364284	0.869363	0.653757	14.8006	1.13616	0	0	0	0	0	0	0	
